customer_text,brand_reply,customer_tweet_id,reply_tweet_id,intent,notes
@SpotifyCares Also why does my girlfriends account go three or more songs between ads and mine usually one after being a long time premium account,"@495535 Thanks! Just to confirm, did you watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MC",1615800,1615803,,
@SpotifyCares Just the albums my playlists are ok.,@625000 Thanks for clearing that up. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,2121315,2121314,,
@SpotifyCares Version 8.2.0.549 and os 11 ( although was like this when I had ios 9),@511586 Got it. Can you check if updating the app makes a difference? /DV,1683029,1683031,,
"@SpotifyCares I was surprised to see one of my fav Christmas tracks by @103595 wasn't on the ""Christmas in Canada"" 🇨🇦 playlist @3493. I enjoy hearing it every year! https://t.co/43dMzEE5ev","@756950 Hey Mitchell, glad to hear we could surprise you this year! Be sure to check out that tracks Song Radio for more tunes just like it 🎁 /TB",2692981,2692979,,
@SpotifyCares I lost my premium account subscription with FIDO. What's going on? Music is my life!,@458065 Hi Marc! We've sent a reply to your DM. Let's carry on chatting there /LP,1456546,1456545,,
"So saving an entire album to a playlist on Android no longer automatically names the playlist ""Artist - Album Name""? This is a step backwards @115888 @SpotifyCares!","@750669 Hey there! Don't worry, help's here. Can you let us know the device you're using along with its Android and Spotify versions? We'll be on the lookout for your reply /MT",2663996,2663995,,
@SpotifyCares Gift**,@537301 Hey Lizzy! You can purchase E-cards for Spotify Premium here: https://t.co/42zVxzQuAV. Let us know if you have any questions /TF,1788653,1788652,,
@SpotifyCares thank you!,@235785 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /AP,1372118,1372117,,
@SpotifyCares y'all need to update for iPhone X! All the major apps had day 1 updates ready,"@486158 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",1578595,1578594,,
"@SpotifyCares ...and I get the ""No results found for '[insert search term]'"" message. I've had lots of bugs, but this is new.","@456065 Hey Lucas! Does logging out of Spotify, restarting your device and logging back in help at all? Keep us posted /TF",1448180,1448178,,
@SpotifyCares I am so sick that I am forced to re-download my playlists non-top. I went from  #groovemusic with no problems to this. :/,"@567449 Hey Mikkel, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /AY",1904128,1904127,,
@SpotifyCares any word of when you'll up the limit of songs that we can save? i cleared it up last year and i ran into this issue again https://t.co/7zmzUNcWuf,"@516077 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 🙂 /VK",1702124,1702123,,
@725075 @6860 @115888 Yeah @115888 I tried to listen to take care today hyfr couldn't find it what gives eh? Thank u!,"@723973 @725075 @6860 @115888 Hey! Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM",2552706,2552703,,
"Hey @115888 why is there a limit to how large my library can be, even if I'm a premium user?","@398465 Hi! Right now, you can only download up to 3,333 songs per device for offline listening, on up to 3 devices. We'll pass on your feedback /DD",1960908,1960905,,
"@SpotifyCares ,, you said you sent a password reset to my email, but yet I never got the email","@544540 Hi there, that's not cool! Could you DM us your account's username or password? We'll check backstage /RE https://t.co/ldFdZRiNAt",1812580,1812579,,
@115888 why isn’t my Spotify radio nor any searches working and I’m a premium member? Keeps saying an “error occurred.” Restarted my phone,"@599508 @115888 Hey there! Could you let us know your device's make/model, operating system, and Spotify version? We'll see what we can suggest /GU",2027299,2027298,,
"@SpotifyCares hi, I sent a message to you. Please kindly help, thanks! 🙂",@750472 Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS,2662920,2662919,,
"@SpotifyCares i have paid for premium account, but my spotify still labeled as free account. please helpp","@670515 Hi Dita, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",2312076,2312075,,
@SpotifyCares It’s ok i found a work around when I didn’t hear back within a few hours.  Thanks anyway,"@324251 Nice! We're glad it's working now. Let us know if you need anything else, we'll be right here /RV",860232,860234,,
"@115888 @SpotifyCares am having issues joining a family plan, would you help?",@378348 @115888 We've just sent you a DM 🙂 /PX,1094849,1094848,,
@SpotifyCares Yes that's not cool. Can't agree more. Nope. Everything is fine on my side. Downloading everything again so... Grrrr,"@548374 OK. Just in case, that link can explain what could've happened and which steps to take next to prevent this from happening in the future /GK",1827051,1827053,,
"Hey @SpotifyCares, @3072 and @5795. That last tweet is for you too https://t.co/SbaXzWA9bZ","@379266 Hi there. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right team /LM",1098719,1098718,,
"@SpotifyCares Hey, the issue's all fixed now. My card was charged today. Thanks! 👍",@417820 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,1272285,1272287,,
"@SpotifyCares Done. Thank you. In the meantime, I also have a suggestion that might help those like me with this problem: I'd love to see a way to alphabetize my ""All Songs"" category on the app so I can easily eliminate duplicate songs to allow for more space.",@748203 No worries! You can sort Your Songs by Title with these steps: https://t.co/5hjtm5AdqM. This rearranges the tracks alphabetically. Hope this helps /KB,2653070,2653069,,
@115888 @117168 @SpotifyCares i got issues with u removing Troubadour by George Strait and People are Crazy by Billy Currington,@783416 Hey there! Sometimes content gets removed due to licensing changes. Hopefully we'll have them available again soon. Check this out: https://t.co/0i8GpimuDa /AR,2809046,2809045,,
Still waiting for the day GOT7 will be on  @117168 @115888,@301744 We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /BE,760596,760595,,
"Alright, @115888 time to add No Phun Intended, and Regional at Best to @130008 albums 👍🏼 alright, cool",@130007 Hey there! Could you let know what country your Spotify account is set to? We'll check it's availability /GU,61179,61177,,
@SpotifyCares hey Spotify. Im an artist trying to get verified. Help please 🙏,@718042 Hey there! You can request for verification at https://t.co/aR6VNZNfsw. Hope this helps 😁 /NS,2520932,2520929,,
Hi @115888 @SpotifyCares please check your dm!!! Badly needed your help,@284783 Hey Ericson! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q,689583,689582,,
@SpotifyCares I received a notification on your annual premium subscription but logged in and can’t find how I can take advantage of this,"@248881 Hey, help's here! Can you DM us your account's email address along with a screenshot of the page you're seeing when you clicked on the emailed link for the offer? We'll take a closer look /RR https://t.co/ldFdZRiNAt",552683,552682,,
@137949 @SpotifyCares Has a recent update broken playing Spotify on a Sonos Play1 using Spotify Connect from the Spotify app? #whoistoblame,"@255582 Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /RC",576176,576174,,
@115888 can you please stop losing all of my downloaded songs on pc? thank you,@558770 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this 🙂 /CG,1870997,1870995,,
@115888 how do I sign up for unlimited on my iPhone,"@560487 Hey! Unlimited may not be available for you at the moment, but we can take a closer look at your account if you DM us your username /MT https://t.co/ldFdZRiNAt",1877698,1877697,,
Still not fixed the sharing function on androids/Pixels 🙃 @SpotifyCares,@152929 Can you let us know your exact Spotify version? We'll see what we can suggest /JP,2230792,2230791,,
@SpotifyCares I have access to an artist’s account that I shouldn’t have access to in spotify for artists &amp; dont see how I can delete myself,@248048 Hi! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: https://t.co/p1wbtdELHu /MT,1799488,1799486,,
@115888 why do my playlists always have 1 or 2 less songs in them than the mobile app says?  PC has the correct number...,"@380269 Hey Cameron! Does logging out, restarting your device, and logging back in help at all? /LO",1102951,1102950,,
@SpotifyCares Tried that and still have the same problem.,"@659498 Thanks for giving it a shot. Just to check, are you able to play that track with Offline Mode enabled? /RH",2598010,2598011,,
@115888 Howwww :(((,"@776958 Hey Patrissia, help's arrived! To take advantage of this offer, you must not have had a Premium subscription in the past. Check out more details at https://t.co/Gp5xcUoTsa. We hope this helps /DI",44377,2782177,,
Thank you so much @SpotifyCares you guys go above and beyond!,"@582774 You're welcome and thanks for the kind words! By the way, you might've missed our DM. Check out your messages /JP",1966378,1966377,,
@115888 If i’m a current premium user. Can i have this?,@270310 Hey Ben! Can you DM us your account's email address? We'll take a look backstage /SJ,482486,634041,,
"@SpotifyCares Hey, I can't play any @124708 songs today? I get an error ""This song is not available"" Have they been pulled from the UK?","@539150 Hi Cliff, that doesn't sound good. Could you send over your account's username or email address? We'll take a look backstage /JO https://t.co/ldFdZRiNAt",1794140,1794139,,
Hey @115888 what in the world is stranger things mode and how do I make it happen. I want to get killed by a mindflayer https://t.co/nJf1QT2A2L,"@134422 @118134 2: Stranger Things soundtrack, it will let you see the album differently. More info here: https://t.co/eR59jGddYG /RH",2312364,2312362,,
"@SpotifyCares That worked, thank you!",@819438 You're welcome! Let us know if you ever need us again. We'd be happy to help. https://t.co/m4HWSbgHVZ 🙂 /LO,2970798,2970800,,
@38621 charged from my card but didnt upgrade my account since it says my student status cant be verifyed,@327502 Hi there! We've just replied to your DM. We'll carry on helping out there /JX,874036,874035,,
@115888 no Spotify service in Egypt. Just saying. 😤,@602825 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM to be first to hear /AY,2038745,2038744,,
"@181186  Hey Spotify MY , The car horn ad is just noise pollution to someone blasting music. It seriously hurts the ears, pls remove pls",@278312 Hey! We appreciate your feedback on this. We'll be sure to pass it on to our Ads team /AY,664264,664263,,
Man someone hacked my Spotify account😒 @115888 y’all better fix this or I want a year of free music,@669230 Hey there! We've just sent you a DM 🙂 /DF,2306918,2306917,,
@SpotifyCares 11.0.3 os. Spotify 8.4.26.793,@669054 Thanks. Can you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH,2306183,2306185,,
"@SpotifyCares done, thank you.",@192596 We've just replied to your DM. Let's carry on chatting there /KM,321501,321502,,
spotify should fr add an alarm setting to their app like i want to wake up to my favorite music but im also broke as hell @115888,"@400137 Hey Ashton, a sleep timer is a great idea! Help make it happen by adding support here: https://t.co/pMmX7wXq24 /HC",1191878,1191877,,
"@SpotifyCares, when will I be receiving an email with the code for @84365's presale happening in an hour? I already follow him on your platform. Thanks much!",@626611 Hey there! Pre-sale codes are being sent out by email to some of Tom Misch's biggest fans on Spotify. Hopefully you're one of them /JX,2128530,2128529,,
@115888 why does the app crash everytime I try to share a song/playlist?,"@315759 Hey Brandon! Don’t worry, we can help. Can you let us know the device/OS you’re using? /MX",821819,821818,,
"@SpotifyCares Alright, thanks for the response",@807280 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RB,2916568,2916569,,
@115888 @146177 @12899 Where is Reputation?,"@659282 Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /MG",2264884,2264883,,
"@SpotifyCares Why do all of my songs sound like they're on ket? Literally everything's playing at like 2x speed, lads help",@314447 Hey Joel! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /SU,816521,816520,,
Ugh i can't get my stranger things mode to work @115888 https://t.co/YLWQPzXxZh,"@756949 Hey there, we're here to help! Could you give this playlist a listen to see if it helps: https://t.co/4cQt9Vn0ec? Let us know /TB",2692975,2692973,,
"@SpotifyCares Decided to humor you by attempting this, but it obviously didn't work... maybe the algorithm just knows much I love ""New Music Friday?"" https://t.co/KaL0CnmALS","@639471 We were so excited about the new music, we decided to hand it out a day early! We'll try to keep our composure next week 🙂 /TF",2183045,2183044,,
"@118266 @133324 WHY THIS IS NOT SPOTIFY SPAIN
😥😥😥😥😥","@249702 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa 🙂 /JI",2513098,2513096,,
@SpotifyCares I tried this. It seemed like it worked at first but it's back to doing the same thing.,@413857 Thanks for trying. Could you send us your account's email address or username via DM? We'd like to check further /RK https://t.co/ldFdZRiNAt,1252715,1252716,,
"Please consider accepting #BitcoinCash for payments @spotifycares - it’s fast and secure, with low fees! More @ https://t.co/YsDKU63vw3",@125636 Hey Vixzer! We can see how that’d be useful! You can vote for the official idea here: https://t.co/snIzzj29Vz /TF,43447,43446,,
hi @115888 please fix your app the new update killed it https://t.co/W8tEGoTRnh,@808052 Hey there! Everything should be running smoothly now. Let us know if this is still happening /GS,2919421,2919420,,
@SpotifyCares How often do the genres of my daily mixes get updated?,"@599510 Hi Josh! They're determined by algorithms. As your music taste evolves, so do the mixes. There's more here: https://t.co/OCqPV5UbGd 🙂 /T",2027303,2027302,,
