customer_text,predicted_intent,confidence,reasoning
@spotifycares can we share artist stations that we create?,feature_request,0.95,"User is asking to share artist stations, which is a feature request."
@SpotifyCares I can't - unidays doesn't recognise my institution (Paragon Skills For Industry) :(,billing_subscription,0.95,"User reports unidays not recognizing their institution, a student discount issue."
"@SpotifyCares Hi,my friends daughter is in Phil&amp;mom lives in UAE.Shes just a student and spotify doesnt want to accept her moms credit card",billing_subscription,0.9,User reports credit card not accepted for a student plan.
@SpotifyCares I just plugged into my Ethernet cord and it’s giving the same screen,login_account_access,0.7,"User is stuck on the same screen after connecting to Ethernet, indicating a login or connectivity issue."
@SpotifyCares iPhone 6 ios11.1.1 latest Spotify app,playback_bug,0.4,"User mentions device and OS, likely indicating a technical issue with the app."
"@137960, @SpotifyCares couple issues guys: can't view stats, not verified, don't have own profile. Let me know what info you need to fix.",login_account_access,0.9,User reports issues with account verification and profile access.
"@SpotifyCares Ok and thanks for prompt reply! But according to this article from https://t.co/POMPPNGx59 it's ""in the works""? https://t.co/gLJWIkQgA6",feature_request,0.95,User is inquiring about a feature that is still in development.
What the hell happen to your song @276220 ?! Why @115888 mess with us like that?! https://t.co/IeAkEnIKbS,content_availability,0.9,"User complains a specific song is missing or messed up, indicating a licensing or availability issue."
"@115888, why are you committing suicide by fucking with playlists? Now it only plays the most ""profitable"" tracks, and just because I like an artist, doesn't mean I want to hear them on EVERY playlist. At this rate you're going where Pandora went! #disappointed #stupid #Ethereum",feature_request,0.9,User complains about playlist algorithm changes and wants a different approach.
if my @115888 fucks up one more time i’m switching to @115948,login_account_access,0.8,"User complains about a problem with one account and plans to switch to another, indicating an account access issue."
"@SpotifyCares @37323 No song listed, no album art. Supposed to have been released yesterday. https://t.co/NXi7mCaA33",content_availability,0.95,"User reports a newly released song is missing and has no album art, indicating a content availability issue."
@SpotifyCares is there anyway to add more than 5 family members to the Family Plan? I live in Australia btw,feature_request,0.95,"User is asking about expanding the family plan capacity, a feature request."
@SpotifyCares I just ordered Premium for the year and now my account says it's still on the free version! I have proof of purchase.,billing_subscription,0.95,"User reports that after purchasing Premium, their account remains on free, indicating a billing/subscription activation issue."
Disproportionately stressed at the fact that since I upgraded to iOS 11 my earphone controls operate Apple Music rather than @115888,playback_bug,0.9,Earphone controls now trigger Apple Music instead of Spotify after iOS upgrade.
"@SpotifyCares I'm Pixel XL, Project Fi, Android 8.0.0, Oct 5th patch, and Spotify 8.4.22.857.  Crashes and restarts repeatedly on share attempt.",playback_bug,0.95,"The user reports app crashes and restarts when attempting to share, indicating a technical playback issue."
@115888 Hello. Can I speak to someone about my account pretty please? Thanks,login_account_access,0.9,User wants to speak to someone about their account.
Thank you Spotify! This is why you're the best baby! https://t.co/ALjI42fGsd,resolved_positive,0.99,"The user is expressing gratitude, indicating no issue."
@SpotifyCares.My account is skipping through every song and not playing anything - i have updated the software and there is no change,playback_bug,0.95,"User reports songs skipping and no playback, a typical playback bug."
@115888 is there any way I can access the @116130 throwback Thursday playlist from my US based account?,content_availability,0.9,"User is asking about accessing a specific playlist from a US account, indicating a regional availability issue."
Dear @115888 i need this song ASAP!!! One More Chance by Super Junior #OneMoreChance,content_availability,0.95,User is requesting a specific song that may not be available on Spotify.
"Please consider accepting #BitcoinCash for payments @spotifycares - it’s fast and secure, with low fees! More @ https://t.co/YsDKU63vw3",feature_request,0.95,User is suggesting a new payment method for Spotify.
"@SpotifyCares still student, no email to advise full charge, reactivated student acc but can I be refunded the £5? HALP!",billing_subscription,0.95,User requests a refund for a £5 charge after reactivating a student account.
@SpotifyCares is your website down because i keep getting timed out? i need to change my subscription but cant access your website?,billing_subscription,0.85,"User wants to change subscription but cannot access the website, indicating a billing/subscription issue."
"Hey @115888, hows the #iphoneX update coming?",feature_request,0.4,"The user is asking about an update, which is closest to a feature request scenario."
@SpotifyCares I said I fixed it.thanks.,resolved_positive,0.95,User thanks and indicates the issue is resolved.
"Hey @115888 can we change the related artist under Dawn Richard page, she is more so related to kelela, sza, Twigs etc like please change it and get with it",feature_request,0.95,"User is requesting a change to the related artist list, which is a feature suggestion."
"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",feature_request,0.95,User wants to create lists with podcast episodes.
@SpotifyCares Huawei p9 lite/android,feature_request,0.6,"User is inquiring about device compatibility, which is a request for support or feature clarification."
"@spotifycares @151631 my family members are trying to join my family account but keep getting ""600 - oops something went wrong.""Why???",login_account_access,0.9,"Family members cannot join the account, indicating a login/account access issue."
@115888 what is this??? Not planning on being a victim of fraud https://t.co/9xRSOpGkWa,login_account_access,0.8,User is concerned about potential fraud and account security.
