customer_text,drafted_reply,human_overall_score
@SpotifyCares no it works fine on my MacBook Air and on iPhone,@user Got it. Could you DM us your account email or username? We’ll dig in and get this sorted for you. ??,5
"@SpotifyCares 4G. Wifi takes long to load, but at least it does something",Sorry about the lag! Can you DM us your Spotify username or email? We'll check it out for you. /JQ,4
"@115888 hey hey, is there anyway i can change my credit card info on the app? orrrrr","@115888 Hey! You can’t update your card in the app, but you can change it online here: https://t.co/71whArJDaT. Let us know if you need anything else! ??",5
@SpotifyCares The Blue Lips (lady wood phase II) has a totally inappropriate album cover to be advertised on the top bar of the desktop software. FYI.,Hey! Can you share the song link? Tap the three dots???Share???Copy Link. That’ll let us investigate the cover. Thanks!,4
@SpotifyCares I definitely need to contact you. A number or email would be nice.,"Hey! We don’t offer phone or email support right now, but we’ve just sent you a DM. Let’s keep the convo there ??",3
"Come on, @115888. How did you miss the opportunity to call this playlist ""Panic! At The Discography""? https://t.co/iSHA0yr1tJ",@115888 Hey! Great idea ?? We’ll pass your suggestion on to the right folks. Thanks for the creativity! /LM,5
"@SpotifyCares Will do, thanks again! ??","@user You’re welcome! If anything else pops up, just give us a shout. ??",5
@SpotifyCares I’ve had the worst customer service I’ve ever had. Can I please get some help. I’ve been waiting all day.,@SpotifyCares Sorry for the delay! We’ve just sent you a DM so we can sort this out quickly. Talk soon! /RH,4
"@SpotifyCares All of my auto logins stopped working recently and the password reset directs me to an old account from a different country. Meanwhile, I am paying for a premium subscription that I cannot use. How can I get my log in details for my current ",Hey! Help’s here. Could you DM us the email or username you use for Spotify? We’ll check backstage and get you back to premium ??,4
How do I remove songs from my @115888 account that I don’t want anymore? @SpotifyCares,"@115888 Hey! To help remove those tracks, could you tell us which device you’re on and if they’re in Your Library or downloaded for offline? DM us the details and we’ll sort it out. /GS",5
"@115888 @SpotifyCares  Hey, my college is not in your list, so I pay 100kr even though I'm a student.. Is there a sollution to this?
Thanks.",Hey there! Could you DM us your account email? We’ll check your student verification and see how to get you the right discount. ???,4
I would like for @115888 TO STOP PLAYING HORROR MOVIE ADS PLEASE AND THANK YOU,@115888 Hey there! Sorry about the horror ads—definitely not our intention. We’ll forward your feedback to our Ads team. Thanks for letting us know!,5
"@spotifycares how can I join Premium when your site tells me my credit cards are not from supported country - but it is (NZ). My account currently listed as UK where I moved from... (""robandtrien"")",@robandtrien Hey! We’ve just sent you a DM – could you share the email tied to your account? We’ll look into the country/payment hiccup and get you set up. /DM,3
@115888 why the HELL did you take off Miss June ‘75 ??? I’m confused,@115888 Hey! Occasionally songs are taken down temporarily because of licensing changes. We hope Miss June ’75 will be back soon. More details here: https://t.co/0i8GpimuDa,5
@SpotifyCares Is there really no way to disconnect my spotify account from facebook if disconnect button is not an option in settings??,@SpotifyCares Hey there! We can sort that out. Please DM us your account email or username and we’ll take a look backstage. ??,4
"If you’re a big company that is serious about your apps and still haven’t shipped a version that supports the bigger iPhone X display then you are definitely doing something wrong. Ping @115888, @1511, @33740, @117634, @91052 etc",@user @1511 @33740 @117634 @91052 Hey there! We hear you – our team’s on it. Stay tuned for an update soon. /SP,3
@115888 How?,"{""reply"":""Hi there! To claim the offer, just head here and use a credit/debit",2
@115888 when is my year in music coming back and can you make it less shitty than last year,"{""reply"":""@User Hey there! We don’t have any info on this right now, but we’ll pass your feedback along to the team. Stay tuned for updates! /LM"",""",
"@SpotifyCares yaay, the ""Discovered on"" section is back :) thanks for listening!",@User Thanks for the love! ?? Glad the “Discovered on” section is back. Let us know if you need anything else! /GT,
"@SpotifyCares What is that one based on, what I listen to and similar or literally random based on the general public?","We create those playlists using your listening habits, data, research & trends—not random. ?? /TC",
