customer_text,brand_reply,customer_tweet_id,reply_tweet_id,true_intent,true_escalate,notes,drafted_reply,grounded_on,judge_relevance,judge_tone,judge_actionability,judge_overall,judge_reasoning
"@115888 @SpotifyCares  Hey, my college is not in your list, so I pay 100kr even though I'm a student.. Is there a sollution to this?
Thanks.",@462955 Hi there. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,1429270,1477048,billing_subscription,yes,corrected during review,Hey there! Could you DM us your account email? We’ll check your student verification and see how to get you the right discount. 🎓✨,Example 1 (direct request for DM with email to investigate student discount issue),5,4,5,4,"The reply directly asks for the needed info and is clear, though the extra emoji is a minor tone deviation."
"@SpotifyCares Yup, my home WiFi",@648171 Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,2218832,2218831,playback_bug,yes,LLM-DRAFT — please review,Got it! Can you DM us your Spotify username or email so we can take a look backstage? Thanks! 🎧,Example 1,5,5,5,5,"The reply directly asks for the needed info in a friendly, concise way, matching Spotify's style and giving a clear next step."
"@spotifycares how can I join Premium when your site tells me my credit cards are not from supported country - but it is (NZ). My account currently listed as UK where I moved from... (""robandtrien"")",@243585 Hi Robert! Help's here. Can you DM us your account's email address? We'll see what we can suggest /MU https://t.co/ldFdZRiNAt,533538,533537,billing_subscription,no,LLM-DRAFT — please review,@robandtrien Hey! We’ve just sent you a DM – could you share the email tied to your account? We’ll look into the country/payment hiccup and get you set up. /DM,Example 1,5,4,5,5,"The reply directly addresses the issue, uses a friendly tone, and gives a clear next step."
@SpotifyCares The Blue Lips (lady wood phase II) has a totally inappropriate album cover to be advertised on the top bar of the desktop software. FYI.,@766072 Hey! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link /DF,2733024,2733023,feature_request,no,corrected during review,Hey! Can you share the song link? Tap the three dots → Share → Copy Link. That’ll let us investigate the cover. Thanks!,"Inspired by Example 1, which requests the song link to look into album‑art issues.",5,5,5,5,"The reply directly asks for the needed song link in a friendly, concise way, giving a clear next step."
"@SpotifyCares Will do, thanks again! 😃",@807609 https://t.co/rkpsuGlCiy 😁 /FR,2919428,2919426,resolved_positive,no,LLM-DRAFT — please review,"@user You’re welcome! If anything else pops up, just give us a shout. 🎧",Example 3,5,5,4,5,"The reply politely acknowledges the thanks and offers a friendly invitation for further help, matching Spotify's tone."
How do I remove songs from my @115888 account that I don’t want anymore? @SpotifyCares,"@594227 Hey Edwin, help's here! Can you let us know what device you're using? Also, are you referring to songs in Your Library or offline music? /GS",2210889,2210888,feature_request,no,LLM-DRAFT — please review,"@115888 Hey! To help remove those tracks, could you tell us which device you’re on and if they’re in Your Library or downloaded for offline? DM us the details and we’ll sort it out. /GS",Example 1 (similarity: 1.00),5,4,5,4,"The reply is on‑topic and asks the needed details, uses a friendly tone, and gives a clear next step, though it lacks a personal name."
"Come on, @115888. How did you miss the opportunity to call this playlist ""Panic! At The Discography""? https://t.co/iSHA0yr1tJ","@630861 Hi there! Sometimes content becomes unavailable due to licensing. More info at https://t.co/YlV1IAXwsi. Any questions, just shout /LM",2145967,2145966,feature_request,no,corrected during review,@115888 Hey! Great idea 😄 We’ll pass your suggestion on to the right folks. Thanks for the creativity! /LM,Example 2 (feedback passed on to the right folks),5,5,4,4,"The reply acknowledges the suggestion and promises to forward it, matching tone, but offers no concrete next step for the user."
@115888 @SpotifyCares Will the iOS app be updated to support iPhone X?,"@527808 Hi there! We don't have any info to share right now, but we'll pass your feedback on to the right folks 🙂 /NH",1751837,1751836,feature_request,no,LLM-DRAFT — please review,"@115888 Hey! No official timeline yet, but we’ve shared your request with the team. Thanks for the love! 🙏",Inspired by examples 1 and 2 – we note we have no info yet and will pass the feedback to the right team.,5,5,5,5,"The reply directly answers the question, uses a friendly Spotify tone, and clearly states the next steps."
@117153 i added new songs to my playlist from my phone but on my computer the songs won't show... why?,@736509 Hey Snezhina! Can you DM us your account's email address or username along with the Playlist Link where you recently added songs to? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,2602368,2602367,playback_bug,yes,LLM-DRAFT — please review,@117153 Hey! Could you DM us your account email/username and the playlist link? We’ll peek backstage and sort it out. 🎧 /KM,Example 1 (similar issue with songs not showing across devices),5,5,5,5,"The reply directly asks for the needed info in a friendly, concise manner, matching Spotify’s support style."
"@SpotifyCares Hey, the issue's all fixed now. My card was charged today. Thanks! 👍",@417820 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,1272285,1272287,resolved_positive,no,LLM-DRAFT — please review,"Awesome! Glad it’s all set. If you need anything else, just DM us. 🎧",Inspired by Example 1 where we confirmed the issue was fixed and offered further help.,5,5,4,5,"The reply acknowledges the resolution, matches Spotify's friendly tone, and offers a clear next step if needed."
